komentar;cleaning;tokenize;normalize;stopword;stemming
Air terjun yang bagus. Tiket masuk murah sekitar 5 ribu per orang. Air terjunnya jernih, dan langsung berseberangan dengan laut.;Air terjun yang bagus Tiket masuk murah sekitar ribu per orang Air terjunnya jernih dan langsung berseberangan dengan laut;['air', 'terjun', 'yang', 'bagus', 'tiket', 'masuk', 'murah', 'sekitar', 'ribu', 'per', 'orang', 'air', 'terjunnya', 'jernih', 'dan', 'langsung', 'berseberangan', 'dengan', 'laut'];['air', 'terjun', 'yang', 'bagus', 'tiket', 'masuk', 'murah', 'sekitar', 'ribu', 'per', 'orang', 'air', 'terjunnya', 'jernih', 'dan', 'langsung', 'berseberangan', 'dengan', 'laut'];['air', 'terjun', 'bagus', 'tiket', 'masuk', 'murah', 'ribu', 'orang', 'air', 'terjunnya', 'jernih', 'langsung', 'berseberangan', 'laut'];['air', 'terjun', 'bagus', 'tiket', 'masuk', 'murah', 'ribu', 'orang', 'air', 'terjun', 'jernih', 'langsung', 'berangan', 'laut']
"Tempatnya bagus selain air terjun ,diatasnya jg ada rest area.
parkir 5rb masuk 5rb (hari biasa)";Tempatnya bagus selain air terjun diatasnya jg ada rest area parkir rb masuk rb hari biasa;['tempatnya', 'bagus', 'selain', 'air', 'terjun', 'diatasnya', 'jg', 'ada', 'rest', 'area', 'parkir', 'rb', 'masuk', 'rb', 'hari', 'biasa'];['tempatnya', 'bagus', 'selain', 'air', 'terjun', 'diatasnya', 'juga', 'ada', 'rest', 'area', 'parkir', 'ribu', 'masuk', 'ribu', 'hari', 'biasa'];['tempatnya', 'bagus', 'air', 'terjun', 'diatasnya', 'rest', 'area', 'parkir', 'ribu', 'masuk', 'ribu'];['tempat', 'bagus', 'air', 'terjun', 'atas', 'rest', 'area', 'parkir', 'ribu', 'masuk', 'ribu']
Bagus;Bagus;['bagus'];['bagus'];['bagus'];['bagus']
Mantap;Mantap;['mantap'];['mantap'];['mantap'];['mantap']
Pemandangan yg indah, adem pula suasanyanya meskipun pinggir laut. Cuman air terjunya hanya ada ketika musim hujan;Pemandangan yg indah adem pula suasanyanya meskipun pinggir laut Cuman air terjunya hanya ada ketika musim hujan;['pemandangan', 'yg', 'indah', 'adem', 'pula', 'suasanyanya', 'meskipun', 'pinggir', 'laut', 'cuman', 'air', 'terjunya', 'hanya', 'ada', 'ketika', 'musim', 'hujan'];['pemandangan', 'yang', 'indah', 'adem', 'pula', 'suasanyanya', 'meskipun', 'pinggir', 'laut', 'cuman', 'air', 'terjunya', 'hanya', 'ada', 'ketika', 'musim', 'hujan'];['pemandangan', 'indah', 'adem', 'suasanyanya', 'pinggir', 'laut', 'cuman', 'air', 'terjunya', 'musim', 'hujan'];['pandang', 'indah', 'adem', 'suasanyanya', 'pinggir', 'laut', 'cuman', 'air', 'terjunya', 'musim', 'hujan']
tempat wisata yg keren dan recomended bgt buat dikunjungi, apalagi kuliner dan es degannya yg bner2 bisa buat kita move on dari mantan?? …;tempat wisata yg keren dan recomended bgt buat dikunjungi apalagi kuliner dan es degannya yg bner bisa buat kita move on dari mantan;['tempat', 'wisata', 'yg', 'keren', 'dan', 'recomended', 'bgt', 'buat', 'dikunjungi', 'apalagi', 'kuliner', 'dan', 'es', 'degannya', 'yg', 'bner', 'bisa', 'buat', 'kita', 'move', 'on', 'dari', 'mantan'];['tempat', 'wisata', 'yang', 'keren', 'dan', 'recomended', 'banget', 'buat', 'dikunjungi', 'apalagi', 'kuliner', 'dan', 'es', 'degannya', 'yang', 'benar', 'bisa', 'buat', 'kita', 'move', 'on', 'dari', 'mantan'];['wisata', 'keren', 'recomended', 'banget', 'dikunjungi', 'kuliner', 'es', 'degannya', 'move', 'on', 'mantan'];['wisata', 'keren', 'recomended', 'banget', 'kunjung', 'kuliner', 'es', 'degan', 'move', 'on', 'mantan']
Ada restorannya, harga murah, rasa pas aja poin 7. Hati2 ke lokasi air terjunnya, jalan agak licin dusim hujan.;Ada restorannya harga murah rasa pas aja poin Hati ke lokasi air terjunnya jalan agak licin dusim hujan;['ada', 'restorannya', 'harga', 'murah', 'rasa', 'pas', 'aja', 'poin', 'hati', 'ke', 'lokasi', 'air', 'terjunnya', 'jalan', 'agak', 'licin', 'dusim', 'hujan'];['ada', 'restorannya', 'harga', 'murah', 'rasa', 'pas', 'saja', 'poin', 'hati', 'ke', 'lokasi', 'air', 'terjunnya', 'jalan', 'agak', 'licin', 'dusim', 'hujan'];['restorannya', 'harga', 'murah', 'pas', 'poin', 'hati', 'lokasi', 'air', 'terjunnya', 'jalan', 'licin', 'dusim', 'hujan'];['restoran', 'harga', 'murah', 'pas', 'poin', 'hati', 'lokasi', 'air', 'terjun', 'jalan', 'licin', 'dusim', 'hujan']
Karena habis hujan jadi airnya keruh;Karena habis hujan jadi airnya keruh;['karena', 'habis', 'hujan', 'jadi', 'airnya', 'keruh'];['karena', 'habis', 'hujan', 'jadi', 'airnya', 'keruh'];['habis', 'hujan', 'airnya', 'keruh'];['habis', 'hujan', 'air', 'keruh']
Terpantau masih seperti dulu ?? …;Terpantau masih seperti dulu;['terpantau', 'masih', 'seperti', 'dulu'];['terpantau', 'masih', 'seperti', 'dulu'];['terpantau'];['pantau']
Pemandangan eksotis pinggir laut;Pemandangan eksotis pinggir laut;['pemandangan', 'eksotis', 'pinggir', 'laut'];['pemandangan', 'eksotis', 'pinggir', 'laut'];['pemandangan', 'eksotis', 'pinggir', 'laut'];['pandang', 'eksotis', 'pinggir', 'laut']
Oke;Oke;['oke'];['oke'];['oke'];['oke']
Indah sekali.. Tempatnya bersih dan sudah dikelola dengan baik. Kesini sewaktu musim kemarau, aliran air terjunnya cukup deras dan benar2 berwarna tosca ??. Ada cafe ATT yang menyediakan berbagai menu masakan dengan view pantai yang indah, …;Indah sekali Tempatnya bersih dan sudah dikelola dengan baik Kesini sewaktu musim kemarau aliran air terjunnya cukup deras dan benar berwarna tosca Ada cafe ATT yang menyediakan berbagai menu masakan dengan view pantai yang indah;['indah', 'sekali', 'tempatnya', 'bersih', 'dan', 'sudah', 'dikelola', 'dengan', 'baik', 'kesini', 'sewaktu', 'musim', 'kemarau', 'aliran', 'air', 'terjunnya', 'cukup', 'deras', 'dan', 'benar', 'berwarna', 'tosca', 'ada', 'cafe', 'att', 'yang', 'menyediakan', 'berbagai', 'menu', 'masakan', 'dengan', 'view', 'pantai', 'yang', 'indah'];['indah', 'sekali', 'tempatnya', 'bersih', 'dan', 'sudah', 'dikelola', 'dengan', 'baik', 'kesini', 'sewaktu', 'musim', 'kemarau', 'aliran', 'air', 'terjunnya', 'cukup', 'deras', 'dan', 'benar', 'berwarna', 'tosca', 'ada', 'cafe', 'att', 'yang', 'menyediakan', 'berbagai', 'menu', 'masakan', 'dengan', 'view', 'pantai', 'yang', 'indah'];['indah', 'tempatnya', 'bersih', 'dikelola', 'kesini', 'musim', 'kemarau', 'aliran', 'air', 'terjunnya', 'deras', 'berwarna', 'tosca', 'cafe', 'att', 'menyediakan', 'menu', 'masakan', 'view', 'pantai', 'indah'];['indah', 'tempat', 'bersih', 'kelola', 'kesini', 'musim', 'kemarau', 'alir', 'air', 'terjun', 'deras', 'warna', 'tosca', 'cafe', 'att', 'sedia', 'menu', 'masakan', 'view', 'pantai', 'indah']
