Sentimen;stemming
Positif;['air', 'terjun', 'bagus', 'tiket', 'masuk', 'murah', 'ribu', 'orang', 'air', 'terjun', 'jernih', 'langsung', 'berangan', 'laut']
Positif;['tempat', 'bagus', 'air', 'terjun', 'atas', 'rest', 'area', 'parkir', 'rbmasuk', 'ribu']
Positif;['bagus']
Positif;['mantap']
Negatif;['pandang', 'indah', 'adem', 'suasanyanya', 'pinggir', 'laut', 'cuman', 'air', 'terjunya', 'musim', 'hujan']
Positif;['wisata', 'keren', 'recomended', 'banget', 'kunjung', 'kuliner', 'es', 'degan', 'move', 'on', 'mantan']
Negatif;['restoran', 'harga', 'murah', 'pas', 'poin', 'hati', 'lokasi', 'air', 'terjun', 'jalan', 'licin', 'dusim', 'hujan']
Negatif;['habis', 'hujan', 'air', 'keruh']
Netral;['pantau']
Positif;['pandang', 'eksotis', 'pinggir', 'laut']
Positif;['oke']
Positif;['indah', 'tempat', 'bersih', 'kelola', 'kesini', 'musim', 'kemarau', 'alir', 'air', 'terjun', 'deras', 'warna', 'tosca', 'cafe', 'att', 'sedia', 'menu', 'masakan', 'view', 'pantai', 'indah']
Positif;['bagus', 'banget', 'lokasi', 'sampang', 'kota', 'jam', 'tempuh', 'mobil', 'tiket', 'masuk', 'rborg', 'parkir', 'mobil', 'ribu', 'makan', 'view', 'bagus', 'makan', 'enak', 'rekomendasi', 'ikan', 'bakar', 'ikan', 'bumbu']
Positif;['view', 'air', 'terjun', 'bagus']
Positif;['view', 'bagus', 'pas', 'sowrey']
Positif;['spot', 'lokasi', 'wisata', 'wajib', 'kunjung', 'kunjung', 'pulau', 'madura']
Netral;['desa', 'karang', 'anyar', 'bangkit']
Negatif;['pandang', 'bagus', 'madu', 'air', 'terjun', 'laut', 'harga', 'tiket', 'masuk', 'murah', 'korang', 'awat', 'kembang', 'sampah', 'harga', 'parkir', 'mahal', 'ukur', 'wisata', 'obyek', 'kmotor', 'r', 'sila', 'lupa', 'like']
Positif;['november', 'unik', 'air', 'terjun', 'pinggir', 'laut', 'saran', 'lihat', 'air', 'bagus', 'jernih', 'kunjung', 'kesini', 'pas', 'musim']
Positif;['wisata', 'air', 'terjun', 'toro', 'air', 'sungai', 'langsung', 'terjun', 'laut', 'tempat', 'awat', 'bagus', 'lihat']
Netral;['air', 'terjun', 'indah', 'langsung', 'jatuh', 'tepi', 'pantai', 'utara', 'pulau', 'madura']
Positif;['viewnya', 'bagus', 'tempat', 'nyaman', 'family', 'time', 'makan', 'enaak']
Negatif;['tempat', 'bagus', 'gaes', 'musim', 'hujan', 'musim', 'hujan', 'air', 'coklat', 'bening', 'gaesss']
Negatif;['bagus', 'baik', 'sampah', 'mari', 'kurang', 'guna', 'plastik', 'thanks']
Positif;['santai', 'kelurga', 'kerabat', 'nuasa', 'alam', 'indah', 'pandang']
Negatif;['indah', 'bersih', 'perlukurang', 'jaga']
Netral;['pasti', 'kesini', 'pas', 'air', 'pasang', 'keren']
Positif;['tempat', 'baguscocok', 'wisata', 'keluarga']
Positif;['indah', 'cocok', 'banget', 'wisatawan', 'manja', 'mata', 'pandang', 'indah', 'air', 'terjun', 'beda', 'gunung', 'tepi', 'pantai']
Negatif;['bagus', 'viewnya', 'tulis', 'toro', 'air', 'terjun', 'untuj', 'fotografer', 'capture', 'air', 'terjun', 'ganggu', 'icon', 'tulis', 'toilet', 'sedia']
Positif;['alami', 'sbagus', 'eksotik', 'nyaman', 'bersantaitiket', 'masuk', 'ribu', 'lokasi', 'air', 'terjun']
Negatif;['salah', 'kesana', 'tempat', 'bagus', 'ekspektasi', 'sana', 'saran', 'main', 'air', 'dar', 'objek', 'foto']
Negatif;['air', 'terjun', 'toro', 'adalan', 'wisata', 'alam', 'madura', 'bagus', 'sentuh', 'tangan', 'pofesional', 'investor', 'kembang', 'bagus']
Negatif;['bagus', 'selfi', 'alami', 'latar', 'airterjun', 'keren', 'renang']
Negatif;['view', 'indah', 'tawan', 'sayang', 'awat', 'harap', 'depan', 'air', 'terjun', 'toro', 'rawat', 'baikoleh', 'pemkab', 'swasta', 'asli', 'daerah']
Negatif;['bagus', 'viewnya', 'sayang', 'bersih', 'air', 'pantai', 'jaga']
Negatif;['bagus', 'tarik', 'sayang', 'sampah', 'pantai', 'air', 'terjun']
Positif;['panorama', 'bagus', 'kreativitas', 'tambah', 'area', 'pantai', 'tambah', 'fasilitas']
Positif;['bagus', 'banget', 'spot', 'foto', 'instagram', 'obyek', 'bagus', 'unik']
Positif;['bagus', 'langsung', 'jorok', 'laut']
Positif;['bagus', 'foto', 'prewedding']
Positif;['indah', 'jelang', 'matahari', 'benam']
Positif;['cantik', 'eksotis', 'air', 'terjun', 'air', 'tawar', 'langsung', 'depan', 'ombak', 'pantai']
Positif;['indah', 'air', 'terjun', 'mengalirr', 'sok', 'beautyfull']
Positif;['bagus']
Positif;['bagus', 'musim', 'kemarau', 'air', 'bening']
Positif;['pandang', 'laut', 'bagus']
Positif;['objek', 'wisata', 'keren']
Positif;['pandang', 'indah']
Positif;['bagus', 'pandang']
Positif;['indah']
Positif;['murah', 'riah', 'kadang', 'gratis']
Positif;['bagus', 'pandang']
Negatif;['bagus', 'sayang']
Positif;['keren', 'pokok']
Positif;['bagus']
Positif;['keren']
Positif;['indah', 'banget']
Positif;['bagus']
Positif;['indah']
Positif;['pandang', 'indah']
Positif;['bagus']
Positif;['bagus']
Positif;['indah']
Positif;['strategis', 'cantik']
Negatif;['pandang', 'bagus', 'alami', 'kelola', 'baik']
Positif;['pandang', 'bagus', 'matahari', 'utara']
Positif;['lumayan', 'salah', 'destinasi', 'favorit', 'hunting', 'foto', 'landscape', 'pulau', 'madura']
Negatif;['tiket', 'masuk', 'rborang', 'anak', 'free', 'batu', 'karang', 'air', 'air', 'terjun', 'keruh']
