,komentar,Sentimen
0,air terjun bagus tiket masuk murah ribu orang air terjun jernih langsung berangan laut,Positif
1,tempat bagus air terjun atas rest area parkir rbmasuk ribu,Positif
2,bagus,Positif
3,mantap,Positif
4,pandang indah adem suasanyanya pinggir laut cuman air terjunya musim hujan,Negatif
5,wisata keren recomended banget kunjung kuliner es degan move on mantan,Positif
6,restoran harga murah pas poin hati lokasi air terjun jalan licin dusim hujan,Negatif
7,habis hujan air keruh,Negatif
8,pantau,Netral
9,pandang eksotis pinggir laut,Positif
10,oke,Positif
11,indah tempat bersih kelola kesini musim kemarau alir air terjun deras warna tosca cafe att sedia menu masakan view pantai indah,Positif
12,bagus banget lokasi sampang kota jam tempuh mobil tiket masuk rborg parkir mobil ribu makan view bagus makan enak rekomendasi ikan bakar ikan bumbu,Positif
13,view air terjun bagus,Positif
14,view bagus pas sowrey,Positif
15,spot lokasi wisata wajib kunjung kunjung pulau madura,Positif
16,desa karang anyar bangkit,Netral
17,pandang bagus madu air terjun laut harga tiket masuk murah korang awat kembang sampah harga parkir mahal ukur wisata obyek kmotor r sila lupa like,Negatif
18,november unik air terjun pinggir laut saran lihat air bagus jernih kunjung kesini pas musim,Positif
19,wisata air terjun toro air sungai langsung terjun laut tempat awat bagus lihat,Positif
20,air terjun indah langsung jatuh tepi pantai utara pulau madura,Netral
21,viewnya bagus tempat nyaman family time makan enaak,Positif
22,tempat bagus gaes musim hujan musim hujan air coklat bening gaesss,Negatif
23,bagus baik sampah mari kurang guna plastik thanks,Negatif
24,santai kelurga kerabat nuasa alam indah pandang,Positif
25,indah bersih perlukurang jaga,Negatif
26,pasti kesini pas air pasang keren,Netral
27,tempat baguscocok wisata keluarga,Positif
28,indah cocok banget wisatawan manja mata pandang indah air terjun beda gunung tepi pantai,Positif
29,bagus viewnya tulis toro air terjun untuj fotografer capture air terjun ganggu icon tulis toilet sedia,Negatif
30,alami sbagus eksotik nyaman bersantaitiket masuk ribu lokasi air terjun,Positif
31,salah kesana tempat bagus ekspektasi sana saran main air dar objek foto,Negatif
32,air terjun toro adalan wisata alam madura bagus sentuh tangan pofesional investor kembang bagus,Negatif
33,bagus selfi alami latar airterjun keren renang,Negatif
34,view indah tawan sayang awat harap depan air terjun toro rawat baikoleh pemkab swasta asli daerah,Negatif
35,bagus viewnya sayang bersih air pantai jaga,Negatif
36,bagus tarik sayang sampah pantai air terjun,Negatif
37,panorama bagus kreativitas tambah area pantai tambah fasilitas,Positif
38,bagus banget spot foto instagram obyek bagus unik,Positif
39,bagus langsung jorok laut,Positif
40,bagus foto prewedding,Positif
41,indah jelang matahari benam,Positif
42,cantik eksotis air terjun air tawar langsung depan ombak pantai,Positif
43,indah air terjun mengalirr sok beautyfull,Positif
44,bagus,Positif
45,bagus musim kemarau air bening,Positif
46,pandang laut bagus,Positif
47,objek wisata keren,Positif
48,pandang indah,Positif
49,bagus pandang,Positif
50,indah,Positif
51,murah riah kadang gratis,Positif
52,bagus pandang,Positif
53,bagus sayang,Negatif
54,keren pokok,Positif
55,bagus,Positif
56,keren,Positif
57,indah banget,Positif
58,bagus,Positif
59,indah,Positif
60,pandang indah,Positif
61,bagus,Positif
62,bagus,Positif
63,indah,Positif
64,strategis cantik,Positif
65,pandang bagus alami kelola baik,Negatif
66,pandang bagus matahari utara,Positif
67,lumayan salah destinasi favorit hunting foto landscape pulau madura,Positif
68,tiket masuk rborang anak free batu karang air air terjun keruh,Negatif
69,sengkok oreng ketapang cong dus nodusih rekomendasi,Negatif
70,pandang air terjun ragu air terjun tinggi meter jalan sebentar parkir air terjun langsung butuh treking,Negatif
71,tempat nyaman spot foto parkir mobil masuk turun tangga kayak destinasi wisata,Positif
72,kelola rujuan wisata hasil gambar ambil pribadi bwrkunjung kesini,Positif
73,view air terjun oke akses jalan utama fasilitas oke,Positif
74,cocok refreshing piknik tour keluarga,Netral
75,pas kesini alir air terjun deres banget musim hujan,Negatif
76,parkir luas air terjun alami,Positif
77,ambil foto wisata air terjun toro,Netral
78,tukang parkir malak dalih titip helm helm hilang resiko diringkes tukang parkir taruh pos titip bayar mala modus titip paksa kecewa,Negatif
79,ngopinyantai cocok kesini,Netral
80,kali kesini indak bosan must visit place beautiful viewing,Positif
81,air terjun langsung jatuh laut renang keliling,Negatif
82,baguus kelola masyarakat moga ramai,Positif
83,wisata air terjun tepi pantai sejuk siang suasana sejuk,Positif
84,katamantapp,Positif
85,lumayan,Netral
86,cocok ngadem,Positif
87,suasana air terjun pulau garam madura camat ketapang kabupaten sampang jawa timur,Positif
88,spot foto banyak bosan,Negatif
89,upgrade wow,Negatif
90,tata ulanghingga tambah ajaib,Negatif
91,mamtaap jooss rugi trip,Positif
92,bintang dululihat my cennel youtube,Netral
93,lokasi aman sahabat,Positif
94,awat,Negatif
95,moga kembang,Positif
96,wisata tetangga,Netral
97,akses mudah,Positif
98,kumuh,Negatif
99,senang,Positif
100,lumayan,Netral
101,pandang ciamik,Positif
102,lumayan oke,Positif
103,kos,Netral
104,bayar,Negatif
105,bagus,Positif
106,segar,Positif
107,butek,Negatif
108,sip,Positif
109,kunjung,Positif
110,air terjun pinggir pantailuar,Positif
111,sungai jatuh laut,Netral
112,kor periksa settong deh,Netral
113,tingkat,Negatif
114,alhamdulillahsegala puji allahtuhan tunggalesacuma dipingir sampahkalau urus mungut biaya masuk sih sampah,Negatif
115,muas layan parkir kena mahal,Negatif
116,opening sampah sera,Negatif
117,kotor sempit,Negatif
118,tempat bagus banget senang libur tempat kayak happy air terjun bagus banget,Positif
119,bagus bersih pantai rawat bersih indah,Negatif
120,tempat bagus banget alternatif libur sekolah keluarga,Positif
121,pandang indah warung makan andal sea food maknyus,Positif
122,lumayan healing tipis budget murah,Positif
123,air terjun bagus salur langsung masuk laut,Positif
124,pandang bagus nyaman,Positif
125,bagus lumayan bersih,Positif
126,cipta tuhansangat bagus,Positif
127,keren bafus banget,Positif
128,lokasi indah pergi hulu polusi hilang indah air terjun,Negatif
129,damai indah baik pergi matahari benam sayang,Positif
130,masya allah cipta tuhan indah sayang nikmat,Positif
131,sejuk rasa bawah air terjun dengam air sungai campur air laut bening,Positif
132,golong unik tarik kunjung air terjun langsung tumpah satu laut alir air terjun asal hulu sungai atas air terjun,Positif
133,area parkir air bersih fasilitas pada,Positif
134,hibur restorant sedia karaoke,Positif
135,cerita singkat kenang ikat,Netral
136,sumpah alam baik,Netral
137,bagus,Positif
138,keren,Positif
139,air terjun takjub,Positif
140,keren banget kesini sore hasil foto keren masuk bayar parkir air terjun turun parkir parkir jual makan minum leseh langsung view arah pantai,Positif
141,sngat strategis belah jalan raya pandang bagus pagi sore tambah desain cafe cantik dinding tangga cerah,Positif
142,rugi jalan enak akses masuk air terjun jalan enak air terjun bagus,Positif
143,wisata asik sederhana bagus selfi fotoharga tiket masuk cuman,Positif
144,lokasi cocok banget libur keluarga spot bagus abadi momen senjasilahkan follow ig bonus follback,Positif
145,pantai bagusada makanada air terjun laut,Positif
146,lumayan bagus lokasi wisata,Positif
147,air hijau biru bagus kotor bagus,Positif
148,bagus potensi alam pengololaannya maksimal bas mandiri,Negatif
149,bagus bersih awat,Negatif
150,bagus cuman awat air terjun langsung laut kali sensasi main air percik air terjun bintang,Negatif
151,air terjun toro air terjun langsung temu pantai anda tambang pasir pantai toro airterjun pariwisata bagus pulau madura sayang air terjun pantai habis pasir sd aku pantai toro bagus,Negatif
152,wisata alam bagus didlm gua air terjun langsung turun dasar laut sungguh pandang bagus,Positif
153,bagus bersih,Positif
154,wisata bagus alami sentuh tarik wisatawan,Negatif
155,tempat lumayan bagus cocok banget foto long exposure rekomendasi baik sore,Positif
156,indah nyaman saudara hayo kunjung biaya masuk parkir murah riah,Positif
157,air terjun hadap langsung lautview sunset indah cek ig,Positif
158,lumayan bagus air terjunnyamau musim hujan kemarau air,Positif
159,air terjun bagus keren banget cocok banget hilang penat,Positif
160,suasana alam indah padu air terjun laut,Positif
161,rekreasi madura pinggir laut air terjunya natural bagus keluarga,Positif
162,libur senang pasang keluarga meikmati air terjun indah,Positif
163,bagus tempat pintar ambil spot foto,Positif
164,pandang bagus makan enak,Positif
165,air terjun toro ketapang sampang madura bagus banget pandang,Positif
166,lumayan bagus,Positif
167,bagus tempat sejuk,Positif
168,bagus kurang sarana dukung,Negatif
169,pandang hipnotis mata indah alam,Positif
170,pandang pantai indah,Positif
171,bagus bagus kelola bangun,Negatif
172,keren,Positif
173,sunset kayak bagus,Positif
174,air terjun indah sejuk,Positif
175,bagus maaf ambil foto,Positif
176,indah,Positif
177,tempat bagus sehat,Positif
178,tempat bagus,Positif
179,indah,Positif
180,wisata murah riah,Positif
181,bagus udara segar,Positif
182,bagus ber wisata,Positif
183,indah sesal,Positif
184,bagus tempat,Positif
185,bagus oke,Positif
186,bagus foto,Negatif
187,indah gambar,Negatif
188,bagus duga,Positif
189,suasanax indah senang,Positif
190,bagus,Positif
191,tempat bagus,Positif
192,bagus minim biaya,Positif
193,suasana bagus,Positif
194,keren,Positif
195,bagus,Positif
196,bagus,Positif
197,bagus,Positif
198,bagus,Positif
199,kali unjung bagus alam tingkat jadi kafe selamat sampang,Positif
200,tampil tarik gambar indah seolaholah gambar imajinasi butuh awat bersih tata lengkap pariwisata,Negatif
201,bagus,Positif
202,bagus,Positif
203,pulau madura obyek wisata air terjun pikir madura obyek wisata bukit kapur pantai madura obyek wisata takjub salah satu air terjun toro,Positif
204,sumenep air terjun utara butuh juang lewat hutan sepi bukit jalan lubang ketapang malan nginap spbu satu homestay full pagi air,Negatif
205,nice view sanggup turun tangga diexplore banget letak jalur utara madura banget sepi tempat,Negatif
206,jarangjarang air terjun pinggir pantai nihreccomend banget kesini sabar jalan,Negatif
207,tarik hati pandang libur keluarga kesan,Positif
208,tempat kembang bersih bebatuannya harap jaga,Negatif
209,viewnya asyiik air terjun langsung laut banyak air terjun gunung naah laut,Positif
210,nyaman nikmat sunset,Positif
211,parkir luas kesini mending soresenja sore sungguh pandang,Positif
212,air terjun langsung jatuh pantai,Netral
213,lokasi jangkau area parkir nyaman keluarga,Positif
214,tiket masuk bayar parkir afa kuliner,Positif
215,wajib lihat dukung destinasi wisata alam kota sampang ayo main kesana,Positif
216,air terjun toro pinggir laut utara pulau madura kota ketapang kabupaten sampang,Netral
217,air terjun toro tepi jalan raya akses kesana mudah cepat turun langsung air terjun tepi pantaisuasananya nyaman dingin,Positif
218,lokasi pinggir jalan gampang cari freega htm bayar parkir enak dar foto santai keluarga lengkap warung leseh musholla parkir,Positif
219,wisata air terjun letak samping jl ketapangsampang,Netral
220,destinasi wisata air terjun langsung laut lokasi tarik recomended banget keluarga cinta,Positif
221,lumayan habis bebek sinjai jalan,Netral
222,kenang simpan sana,Netral
223,airterjun tepi lautsuatu jarang temu mudah jangkau jalan utama,Positif
224,suka banget,Positif
225,air terjun warna hijau sunsetnya top banget,Positif
226,air terjun toro desa ketapang camat ketapang kabupaten sampang jl raya pantai utara sampang parkir motor mobil luas,Positif
227,air terjun langsung pantai satu daerah madura destinasi wisata langka,Positif
228,datang pagi air laut pasang air bening karang,Negatif
229,unikair terjun langsung lautcuma aman mash minim,Negatif
230,mantap,Positif
231,salah icon wisata ketapang sampang tempat nyaman santa,Positif
232,cafe nikmat milir angin laut,Positif
233,lumayanjln air terjun licin,Negatif
234,refreshing with orang kantor keluarga,Positif
235,air terjun wilayah sampang madura langsung muara laut utara madura,Netral
236,senang,Positif
237,nyaman enak,Positif
238,destinasi wisata air terjun pinggir pantai utara kabupaten sampang,Netral
239,tempat nyaman mudah jangkau,Positif
240,pengin kesini mantap,Positif
241,tmptnya lumayan okview ok,Positif
242,luas laut,Positif
243,rekomandasi libur,Positif
244,jebur sana wkwk,Netral
245,air terjun cocok short vacation,Positif
246,air jernih banget,Positif
247,tingkat pelihara,Negatif
248,adem,Positif
249,indanya pandang,Positif
250,parkir mobil,Negatif
251,suka pantai,Netral
252,nyaman sejuk,Positif
253,hibur,Netral
254,lumayan sempit,Negatif
255,mantapsss,Positif
256,suka,Positif
257,tempat menimbah ilmu,Netral
258,pokok puas,Positif
259,okey,Positif
260,mantul,Positif
261,masok,Positif
262,mantap,Positif
263,cakep,Positif
264,oky,Positif
