komentar;cleaning;tokenize
Air terjun yang bagus. Tiket masuk murah sekitar 5 ribu per orang. Air terjunnya jernih, dan langsung berseberangan dengan laut.;Air terjun yang bagus Tiket masuk murah sekitar ribu per orang Air terjunnya jernih dan langsung berseberangan dengan laut;['air', 'terjun', 'yang', 'bagus', 'tiket', 'masuk', 'murah', 'sekitar', 'ribu', 'per', 'orang', 'air', 'terjunnya', 'jernih', 'dan', 'langsung', 'berseberangan', 'dengan', 'laut']
"Tempatnya bagus selain air terjun ,diatasnya jg ada rest area.
parkir 5rb masuk 5rb (hari biasa)";Tempatnya bagus selain air terjun diatasnya jg ada rest area parkir rb masuk rb hari biasa;['tempatnya', 'bagus', 'selain', 'air', 'terjun', 'diatasnya', 'jg', 'ada', 'rest', 'area', 'parkir', 'rb', 'masuk', 'rb', 'hari', 'biasa']
Bagus;Bagus;['bagus']
Mantap;Mantap;['mantap']
Pemandangan yg indah, adem pula suasanyanya meskipun pinggir laut. Cuman air terjunya hanya ada ketika musim hujan;Pemandangan yg indah adem pula suasanyanya meskipun pinggir laut Cuman air terjunya hanya ada ketika musim hujan;['pemandangan', 'yg', 'indah', 'adem', 'pula', 'suasanyanya', 'meskipun', 'pinggir', 'laut', 'cuman', 'air', 'terjunya', 'hanya', 'ada', 'ketika', 'musim', 'hujan']
tempat wisata yg keren dan recomended bgt buat dikunjungi, apalagi kuliner dan es degannya yg bner2 bisa buat kita move on dari mantan?? …;tempat wisata yg keren dan recomended bgt buat dikunjungi apalagi kuliner dan es degannya yg bner bisa buat kita move on dari mantan;['tempat', 'wisata', 'yg', 'keren', 'dan', 'recomended', 'bgt', 'buat', 'dikunjungi', 'apalagi', 'kuliner', 'dan', 'es', 'degannya', 'yg', 'bner', 'bisa', 'buat', 'kita', 'move', 'on', 'dari', 'mantan']
Ada restorannya, harga murah, rasa pas aja poin 7. Hati2 ke lokasi air terjunnya, jalan agak licin dusim hujan.;Ada restorannya harga murah rasa pas aja poin Hati ke lokasi air terjunnya jalan agak licin dusim hujan;['ada', 'restorannya', 'harga', 'murah', 'rasa', 'pas', 'aja', 'poin', 'hati', 'ke', 'lokasi', 'air', 'terjunnya', 'jalan', 'agak', 'licin', 'dusim', 'hujan']
Karena habis hujan jadi airnya keruh;Karena habis hujan jadi airnya keruh;['karena', 'habis', 'hujan', 'jadi', 'airnya', 'keruh']
Terpantau masih seperti dulu ?? …;Terpantau masih seperti dulu;['terpantau', 'masih', 'seperti', 'dulu']
Pemandangan eksotis pinggir laut;Pemandangan eksotis pinggir laut;['pemandangan', 'eksotis', 'pinggir', 'laut']
Oke;Oke;['oke']
